,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62,2.4273659706115724,0.1163239585964662,0.0029921531677246094,4.523674478771752e-07,"(14, 14, 14)","{'hidden_layer_sizes': (14, 14, 14)}",0.9811452513966481,0.977304469273743,0.9811386657352428,0.9828850855745721,0.9790429619280475,0.9803032867816507,0.0019315161194505283,1
42,1.573792314529419,0.18529017105254716,0.003300333023071289,0.00042034637342055976,"(10, 10, 10)","{'hidden_layer_sizes': (10, 10, 10)}",0.9811452513966481,0.9769553072625698,0.9814879497031086,0.9818372336709745,0.9790429619280475,0.9800937407922697,0.0018462481793148824,2
72,19.287617778778078,1.0500751338963599,0.008975744247436523,0.0006307512458025988,"(100, 100, 100)","{'hidden_layer_sizes': (100, 100, 100)}",0.9818435754189944,0.9776536312849162,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9800936432269156,0.0018736030655049868,3
50,0.9751824855804443,0.05593950525278375,0.0027937889099121094,0.00041561535377646546,12,{'hidden_layer_sizes': 12},0.9818435754189944,0.9762569832402235,0.9811386657352428,0.9818372336709745,0.9790429619280475,0.9800238839986966,0.0021444813663011653,4
40,0.7180441379547119,0.07040619381921558,0.002332115173339844,0.0004227207154544431,10,{'hidden_layer_sizes': 10},0.9811452513966481,0.977304469273743,0.9811386657352428,0.9818372336709745,0.9786936779601816,0.980023859607358,0.001729341189210347,5
45,0.7437518119812012,0.039657567587485704,0.002852916717529297,0.0002853134724918627,11,{'hidden_layer_sizes': 11},0.9818435754189944,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9786936779601816,0.980023859607358,0.002063620045740744,5
55,0.9280430316925049,0.08357773866982733,0.0028510093688964844,7.829064986165926e-05,13,{'hidden_layer_sizes': 13},0.9818435754189944,0.977304469273743,0.9811386657352428,0.9814879497031086,0.9783443939923158,0.9800238108246809,0.0018392067134029703,7
73,26.83227458000183,2.037754356992538,0.012168407440185547,0.0007469265891494987,"(100, 100, 100, 100)","{'hidden_layer_sizes': (100, 100, 100, 100)}",0.9818435754189944,0.977304469273743,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9800238108246809,0.001967403999045228,7
57,2.3876158237457275,0.09671189816044168,0.0031906604766845704,0.0003992804877604386,"(13, 13, 13)","{'hidden_layer_sizes': (13, 13, 13)}",0.9804469273743017,0.9762569832402235,0.9825358016067063,0.9818372336709745,0.9786936779601816,0.9799541247704775,0.002267667986302296,9
60,0.9194638729095459,0.03792586238502445,0.003013801574707031,0.0005978822551256787,14,{'hidden_layer_sizes': 14},0.9818435754189944,0.9766061452513967,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9799540028137848,0.00221429209316405,10
71,11.726344680786132,0.9386512147452226,0.006780433654785156,0.0003984340528771907,"(100, 100)","{'hidden_layer_sizes': (100, 100)}",0.9818435754189944,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9798841460202116,0.0021698608568022845,11
